,photoid,specid,ra,dec,z,dl,logstmass,logsfr,envflag
0,1237651736294391955,582143337230788608,181.324929,2.28954,0.019973,86.854,10.0564,-4.2384,1
1,1237651752937062500,582152408201717760,181.141789,1.801606,0.018682,81.162,10.4569,-3.9061,1
2,1237651735757455412,582155431858694144,181.120708,1.894091,0.021293,92.688,10.1042,-4.416,1
3,1237651753474064541,582142787474974720,181.339802,2.086312,0.021765,94.774,10.1821,-4.06,1
4,1237651752937193530,582135640649394176,181.407158,1.828207,0.020903,90.96,10.4599,-4.0177,1
5,1237651735220584539,580968234061162496,181.083323,1.567582,0.020822,90.604,10.8904,-3.4885,1
6,1237651754011000899,582221402556360704,181.497748,2.49824,0.020344,88.492,10.7749,-1.6414,1
7,1237651752936997041,582176047701714944,180.934899,1.835981,0.019331,84.02,10.2045,-4.137,1
8,1237651752936996907,582171924533110784,180.936012,1.695063,0.020134,87.565,10.6,-3.8473,1
9,1237651752937062404,582166976730785792,181.024997,1.846988,0.016378,71.028,10.4189,-3.9916,1
10,1237651735220715559,582160654538926080,181.419416,1.593481,0.020505,89.205,10.1443,-4.082,1
11,1237651735220715578,582160379661019136,181.419705,1.57505,0.019383,84.253,10.3314,-4.0906,1
12,1237651735757258766,580993522828601344,180.677878,1.952203,0.017262,74.911,10.1292,-4.1785,1
13,1237651735757389827,580983352346044416,180.906801,2.046947,0.018959,82.384,10.5195,-3.8261,1
14,1237651735757455411,580974281375115264,181.112774,1.895971,0.019719,85.732,11.2627,-3.1901,1
15,1237661384380776471,1792522861810837504,139.474256,33.838168,0.021333,92.861,10.0845,-3.9751,1
16,1237661384380776626,1792532482537580544,139.600982,33.867541,0.022041,95.994,10.2532,-3.9724,1
17,1237664870286098459,1792545126921299968,139.850695,33.624005,0.021147,92.042,10.7111,-3.5025,1
18,1237661384380907586,1792545401799206912,139.895133,33.888096,0.021441,93.341,10.1608,-4.2312,1
19,1237664870286098561,1792557496427112448,139.967874,33.649495,0.022226,96.817,10.0795,-4.3849,1
20,1237661816564482252,1912952922807756800,202.372116,11.624774,0.020833,90.651,10.4978,-3.3736,1
21,1237661949725114459,1913039509348444160,202.351081,11.797034,0.021551,93.826,10.3384,-0.131,1
22,1237662238551113804,2034657332360669184,210.43385,9.868381,0.022011,95.865,10.6104,-3.8474,1
23,1237662238014308394,2036844529440548864,210.547147,9.44011,0.020871,90.82,10.4793,-0.3448,1
24,1237662528986873936,1997391028025321472,201.214185,13.737847,0.022104,96.276,10.8279,-1.9868,1
25,1237662528986808444,1997408070455552000,200.96822,13.734282,0.021478,93.506,10.2843,-0.7713,1
